global_step,epoch,step_in_epoch,lr,loss,acc1,acc5,,,,
125,1,126,0.00003998,5.03418,0,0,,,,
126,1,127,0.00003998,5.266846,0,0,,,,
127,1,128,0.00003998,4.726562,0,0,,,,
128,1,129,0.00003998,4.950195,0,0,,,,
129,1,130,0.00003998,4.777832,0,0,,,,
130,1,131,0.00003998,5.453613,0,0,,,,
131,1,132,0.00003998,4.992676,0,0,,,,
132,1,133,0.00003998,4.84668,0,0.125,,,,
133,1,134,0.00003998,4.755371,0,0.125,,,,
134,1,135,0.00003998,4.69458,0,0.125,,,,
135,1,136,0.00003998,4.473633,0,0.125,,,,
136,1,137,0.00003998,4.549561,0,0.125,,,,
137,1,138,0.00003998,5.225586,0,0,,,,
138,1,139,0.00003998,5.162109,0,0,,,,
139,1,140,0.00003998,5.149414,0,0,,,,
140,1,141,0.00003998,4.957031,0,0,,,,
141,1,142,0.00003998,4.751221,0,0,,,,
142,1,143,0.00003998,4.620361,0,0.125,,,,
143,1,144,0.00003998,5.30127,0,0,,,,
144,1,145,0.00003998,5.251465,0,0,,,,
145,1,146,0.00003998,4.869629,0,0,,,,
146,1,147,0.00003998,5.344727,0,0,,,,
147,1,148,0.00003998,5.111816,0,0,,,,
148,1,149,0.00003998,4.700684,0,0.125,,,,
149,1,150,0.00003998,4.9375,0,0.125,,,,
150,1,151,0.00003998,4.992432,0,0,,,,
151,1,152,0.00003998,4.959961,0,0,,,,
152,1,153,0.00003998,4.572754,0,0,,,,
153,1,154,0.00003998,4.591064,0,0.125,,,,
154,1,155,0.00003998,4.895264,0,0.125,,,,
155,1,156,0.00003998,5.081055,0,0,,,,
156,1,157,0.00003997,5.146484,0,0,,,,
157,1,158,0.00003997,4.747559,0,0.125,,,,
158,1,159,0.00003997,4.712891,0.125,0.25,,,,
159,1,160,0.00003997,4.521729,0,0,,,,
160,1,161,0.00003997,4.770508,0,0.125,,,,
161,1,162,0.00003997,4.664307,0.125,0.125,,,,
162,1,163,0.00003997,4.884766,0,0,,,,
163,1,164,0.00003997,4.848633,0,0.125,,,,
164,1,165,0.00003997,4.626953,0,0.125,,,,
165,1,166,0.00003997,5.099609,0,0,,,,
166,1,167,0.00003997,4.869385,0,0,,,,
167,1,168,0.00003997,4.67749,0,0.125,,,,
168,1,169,0.00003997,4.772949,0,0,,,,
169,1,170,0.00003997,5.416748,0,0,,,,
170,1,171,0.00003997,5.250244,0,0.125,,,,
171,1,172,0.00003997,4.994873,0,0.125,,,,
172,1,173,0.00003997,5.009521,0,0.125,,,,
173,1,174,0.00003997,4.812012,0,0,,,,
174,1,175,0.00003997,4.372314,0,0.25,,,,
175,1,176,0.00003997,4.825928,0,0.125,,,,
176,1,177,0.00003997,4.868896,0,0.125,,,,
177,1,178,0.00003997,4.648438,0,0,,,,
178,1,179,0.00003997,5.477051,0,0,,,,
179,1,180,0.00003997,4.929688,0,0,,,,
180,1,181,0.00003997,4.95166,0,0,,,,
181,1,182,0.00003997,4.892578,0,0.125,,,,
182,1,183,0.00003997,5.224121,0,0,,,,
183,1,184,0.00003997,4.577148,0,0,,,,
184,1,185,0.00003997,5.09375,0,0,,,,
185,1,186,0.00003996,4.932129,0,0,,,,
186,1,187,0.00003996,4.914795,0,0.125,,,,
187,1,188,0.00003996,4.911621,0,0,,,,
188,1,189,0.00003996,4.917725,0,0.125,,,,
189,1,190,0.00003996,4.908203,0,0,,,,
190,1,191,0.00003996,4.600342,0,0,,,,
191,1,192,0.00003996,5.111328,0,0,,,,
192,1,193,0.00003996,4.979736,0,0.125,,,,
193,1,194,0.00003996,5.193848,0,0,,,,
194,1,195,0.00003996,5.394531,0,0,,,,
195,1,196,0.00003996,5.149902,0,0.125,,,,
196,1,197,0.00003996,4.68457,0,0.125,,,,
197,1,198,0.00003996,5.537109,0,0,,,,
198,1,199,0.00003996,4.925293,0,0,,,,
199,1,200,0.00003996,4.645508,0,0,,,,
200,1,201,0.00003996,4.74707,0,0,,,,
201,1,202,0.00003996,4.485596,0,0,,,,
202,1,203,0.00003996,4.882324,0,0,,,,
203,1,204,0.00003996,5.392578,0,0,,,,
204,1,205,0.00003996,4.872314,0,0.125,,,,
205,1,206,0.00003996,5.372559,0,0,,,,
206,1,207,0.00003996,4.223389,0.25,0.25,,,,
207,1,208,0.00003996,4.530518,0,0,,,,
208,1,209,0.00003996,4.734619,0.125,0.125,,,,
209,1,210,0.00003995,5.247559,0,0,,,,
210,1,211,0.00003995,5.49707,0,0,,,,
211,1,212,0.00003995,5.073242,0,0,,,,
212,1,213,0.00003995,4.823242,0,0.125,,,,
213,1,214,0.00003995,4.804199,0,0.125,,,,
214,1,215,0.00003995,4.932861,0.125,0.125,,,,
215,1,216,0.00003995,4.635742,0.125,0.125,,,,
216,1,217,0.00003995,5.291504,0,0,,,,
217,1,218,0.00003995,4.690674,0,0.125,,,,
218,2,1,0.0000397,5.127539,0,0,,,,
219,2,2,0.00003969,4.759375,0,0.05,,,,
220,2,3,0.00003969,4.816504,0,0.05,,,,
221,2,4,0.00003969,4.661035,0,0.05,,,,
222,2,5,0.00003969,4.883105,0.05,0.15,,,,
