split,n,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_micro,recall_micro,f1_micro
train,4368,0.9800824175824175,0.9811425578772297,0.9800824175824177,0.9799742602299738,0.9811425578772297,0.9800824175824175,0.9799742602299737,0.9800824175824175,0.9800824175824175,0.9800824175824175
validation,1244,0.9453376205787781,0.9503973990752838,0.9454399766899766,0.9456606894901209,0.9503048933917101,0.9453376205787781,0.9455591943666876,0.9453376205787781,0.9453376205787781,0.9453376205787781
